No.,Time,Source,Destination,Protocol,Length,Info
2632,29.517161,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,62963  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
2654,29.579204,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,62964  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
2655,29.579712,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,62965  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
2659,29.580552,DESKTOP-EB9QDOJ.local,scontent-maa2-2.xx.fbcdn.net,TCP,66,62966  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
2660,29.581031,DESKTOP-EB9QDOJ.local,scontent-maa2-2.xx.fbcdn.net,TCP,66,62967  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
2661,29.581463,DESKTOP-EB9QDOJ.local,scontent-maa2-2.xx.fbcdn.net,TCP,66,62968  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
2662,29.581869,DESKTOP-EB9QDOJ.local,scontent-maa2-2.xx.fbcdn.net,TCP,66,62969  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
3493,30.753061,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,62970  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
3494,30.753739,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,62971  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
4473,32.313119,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,62972  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
4474,32.313357,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,62973  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
5118,34.016291,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,62974  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
5119,34.016524,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,62975  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
5135,34.027896,DESKTOP-EB9QDOJ.local,scontent.fmaa14-1.fna.fbcdn.net,TCP,66,62976  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
5140,34.033337,DESKTOP-EB9QDOJ.local,scontent.fmaa14-1.fna.fbcdn.net,TCP,66,62977  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
5141,34.033647,DESKTOP-EB9QDOJ.local,scontent.fmaa14-1.fna.fbcdn.net,TCP,66,62978  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
